SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr3:107941033>chr4:40426616,IFT57,1,RBM47,0,0.07933036989565165
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr17:39959014>chr7:131195063,LEPREL4,0,PODXL,2,0.038762675894518976
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr15:44912426>chr1:36767188,SPG11,0,THRAP3,2,0.1835260548748829
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr16:53358634>chr6:44219915,CHD9,0,HSP90AB1,0,0.9912592860413476
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr9:116812471>chr7:27210841,ZNF618,0,HOXA10,0,0.9432765036830761
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr14:34902905>chr15:42859621,SPTSSA,0,HAUS2,0,0.14901047323250802
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr1:67465702>chr17:42876868,SLC35D1,0,GJC1,0,0.28698050203492187
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr14:77491827>chr21:46906874,IRF2BPL,1,COL18A1,0,0.023296268520099445
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr2:219460469>chr12:53346681,RQCD1,0,KRT18,0,2.041916434347159E-4
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr1:87208991>chr9:26842091,SH3GLB1,0,CAAP1,0,0.7913187704432589
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr17:55939668>chr22:19344456,CUEDC1,0,HIRA,1,0.022504804191836796
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr3:197239236>chr3:197009549,BDH1,2,DLG1,0,0.9968831479734425
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr1:171526837>chr7:2292730,PRRC2C,2,SNX8,0,0.038762675894518976
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57721636>chr17:57816309,CLTC,0,VMP1,0,0.009895229242998392
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr11:102208402>chr22:46239711,BIRC3,0,ATXN10,0,0.9917903832635675
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr1:16693736>chr19:11145726,SZRD1,0,SMARCA4,2,0.4415594503942847
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr2:220432111>chr1:151298745,OBSL1,1,PI4KB,0,0.0033211359915013734
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr11:73555851>chr1:241728359,MRPL48,0,KMO,0,0.047168830007433514
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr7:135358963>chr3:12625879,C7orf73,0,RAF1,0,0.999641252428228
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr3:40503550>chr16:67229792,RPL14,0,E2F4,0,0.0021729508701566528
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr11:64875088>chr2:232325393,VPS51,0,NCL,0,0.4415594503942847
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr9:32553934>chr5:175775032,NDUFB6,0,KIAA1191,1,0.0015780819962265536
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr19:49469626>chr3:39449262,FTL,1,RPSA,0,0.002250069019281544
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr5:17275328>chr6:44218149,BASP1,2,HSP90AB1,2,0.01393369913929018
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr17:29110375>chr5:32228395,CRLF3,0,MTMR12,0,0.03761033308833332
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr8:28600602>chr8:28748196,EXTL3,0,HMBOX1,0,0.6118889081851173
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr3:112357106>chr11:72540660,CCDC80,0,ATG16L2,0,0.13381556016449642
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr19:13065164>chr5:180665172,GADD45GIP1,1,GNB2L1,2,4.8136603169874135E-5
R1506023213_S7_L004_.non-rRNA.P.Chimeric.out.junction,chr22:42018052>chr1:32377341,XRCC6,1,PTP4A2,0,0.013562126799762831
