SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr22:21306810>chr19:19617491,CRKL,0,GATAD2A,0,0.9661813537193291
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr15:66587325>chr22:19776088,DIS3L,1,GNB1L,0,0.004904672021607798
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr11:108016928>chr11:108225602,ACAT1,0,ATM,0,0.8857674945139046
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr20:18440951>chr20:18037300,DZANK1,2,OVOL2,0,0.8206929680136144
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57721636>chr17:57816309,CLTC,0,VMP1,0,0.009895229242998392
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr16:67963529>chr19:12981756,PSKH1,0,MAST1,2,0.18110052929494835
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr2:85769360>chr3:186288652,MAT2A,1,DNAJB11,0,7.177818206003716E-4
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr17:42153411>chr11:67034214,G6PC3,2,ADRBK1,2,0.9884229938812926
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr6:55625332>chrX:148713225,BMP5,2,TMEM185A,2,0.0033211359915013734
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr19:50156736>chr3:184429325,SCAF1,2,MAGEF1,0,1.1648819193384707E-4
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr10:34606267>chr10:13735897,PARD3,2,FRMD4A,1,0.5147846720011642
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr2:96952170>chr3:23960959,SNRNP200,0,RPL15,1,0.2510400188586584
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr6:144086712>chr12:1702296,PHACTR2,0,FBXL14,1,0.7793245181248832
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr5:150648674>chr3:9516212,GM2A,0,SETD5,0,0.37671759576947583
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr11:12964519>chr1:202932773,TEAD1,0,CYB5R1,0,0.06187565078232858
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr14:23527825>chr22:38888091,ACIN1,0,DDX17,1,0.9524462578931808
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr7:99686627>chr11:61734946,COPS6,1,FTH1,0,1.9669271164277E-4
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr19:4457726>chr16:81478825,UBXN6,0,CMIP,0,0.015509398569510186
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr16:3786100>chrX:122755092,CREBBP,0,THOC2,1,0.9683692954749293
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr11:101937319>chrX:74273219,C11orf70,2,ABCB7,1,0.27063990976324975
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr19:46857131>chr22:39710729,PPP5C,1,RPL3,1,1.2052545417994386E-4
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr9:116149131>chr12:6879946,ALAD,0,PTMS,0,0.022504804191836796
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chrY:21153261>chr15:64461726,CD24,0,CSNK1G1,0,0.9557602310381869
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr17:3928389>chr1:211486241,ZZEF1,2,RCOR3,0,0.9405706765657532
R1506023208_S1_L004_.non-rRNA.P.Chimeric.out.junction,chr1:160967270>chr7:141373967,F11R,0,KIAA1147,2,0.28698050203492187
