SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr14:102549491>chr13:107211943,HSP90AA1,0,ARGLU1,2,0.04695491113425718
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr1:16891370>chr22:41650402,NBPF1,0,RANGAP1,0,0.06438599924220698
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr20:39713145>chr7:91726546,TOP1,1,AKAP9,0,0.005659866287785027
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr19:39191649>chr7:100883447,ACTN4,2,FIS1,1,0.0070903819265120275
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr1:235377252>chr1:171501800,ARID4B,1,PRRC2C,0,0.016302840878414316
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr12:27066518>chr15:40631004,ASUN,0,C15orf52,2,0.015193487337610813
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr17:48823145>chr2:232325390,LUC7L3,1,NCL,0,0.9592145697644788
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr19:17417352>chr15:75219138,MRPL34,0,COX5A,2,0.029198943503152944
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr5:179151758>chr17:4575571,CANX,1,PELP1,0,0.006829260936531813
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr17:16029431>chr2:99978131,NCOR1,0,EIF5B,2,0.9270633776278842
R1504202612_S10_L004_.non-rRNA.P.Chimeric.out.junction,chr1:171501801>chr1:235377251,PRRC2C,1,ARID4B,0,0.0047734708972250114
