SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr2:100011259>chr16:69744759,EIF5B,1,NQO1,0,0.07552420232064908
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr11:61734924>chr5:137088955,FTH1,0,HNRNPA0,0,0.015129701333180832
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr12:16516859>chr12:9094488,MGST1,0,M6PR,1,0.9815609196937596
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr19:40957400>chr19:50432606,BLVRB,2,NUP62,0,0.002736137749222721
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr19:47994106>chr12:53293695,NAPA,1,KRT8,2,0.012439283760043482
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr2:232325490>chr9:130931400,NCL,1,CIZ1,0,0.09589118401022488
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57721636>chr17:57816309,CLTC,0,VMP1,0,0.009895229242998392
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr2:74369429>chr14:102551163,BOLA3,0,HSP90AA1,2,1.0968604529973153E-5
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr1:990380>chr1:230415804,AGRN,0,GALNT2,0,0.3068895326725779
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr16:67578231>chrX:153628280,FAM65A,1,RPL10,1,7.037026674170036E-6
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr12:49332174>chr19:13054745,ARF3,0,CALR,0,0.009195508030389833
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr1:7980984>chr1:29508157,TNFRSF9,2,SRSF4,2,0.011992466049577178
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr10:60155122>chr3:48956353,TFAM,0,ARIH2,0,0.7511241491855866
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr9:130931385>chr14:99980244,CIZ1,0,CCDC85C,0,0.003852211235299983
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr8:41400151>chr3:33184164,GINS4,0,CRTAP,0,0.06435662436097211
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr2:203167663>chr11:57095837,NOP58,2,SSRP1,0,0.034527790814259954
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr5:137089042>chr11:61734936,HNRNPA0,0,FTH1,0,2.271438374151027E-4
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr22:29696131>chr3:9822201,EWSR1,0,TADA3,2,0.16449018529081755
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr11:64534423>chr3:184081254,SF1,2,POLR2H,0,0.8538899478467944
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr19:54627135>chr2:232326345,PRPF31,0,NCL,0,0.28016967582856783
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr3:184039750>chr19:1207165,EIF4G1,0,STK11,0,0.9977523282195374
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr10:79795109>chr10:70514585,RPS24,0,CCAR1,0,0.005659866287785027
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr11:73950216>chrX:53116984,PPME1,1,TSPYL2,0,0.020764021235242777
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr18:8720389>chr1:43632499,MTCL1,2,EBNA1BP2,0,0.010855466325725687
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr7:143573293>chr2:39234302,FAM115A,2,SOS1,2,0.9908112350859032
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr5:179263703>chr18:10552322,SQSTM1,0,NAPG,0,0.9606127038222452
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57768019>chr18:9530899,CLTC,1,RALBP1,2,0.9744589456429787
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr19:39663864>chr9:131768607,PAK4,0,NUP188,2,0.2620551500913735
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr14:73572590>chr2:198365915,RBM25,1,HSPE1,0,0.027819486047930893
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr20:35857018>chr2:118854045,RPN2,2,INSIG2,0,0.1997660477006504
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr1:224033502>chr22:38349739,TP53BP2,0,POLR2F,0,0.799408379536028
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr7:156743338>chr7:11022230,NOM1,0,PHF14,2,0.460691208828414
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr3:132196678>chr12:51637534,DNAJC13,0,DAZAP2,0,0.013923697208983446
R1506023209_S2_L004_.non-rRNA.P.Chimeric.out.junction,chr13:103451106>chr1:984642,KDELC1,0,AGRN,2,0.011834463848051171
