SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr12:122992909>chr14:74449771,RSRC2,0,ENTPD5,1,0.003343989526434257
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr17:76988036>chr15:72501090,CANT1,0,PKM,0,0.2341928787956506
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr21:44524468>chr14:24606623,U2AF1,1,PSME1,0,0.045690467891505375
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:27608703>chr22:24108021,PPM1G,1,CHCHD10,0,0.005453963897982444
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr1:152005101>chr10:63853975,S100A11,0,ARID5B,0,0.013114538106539482
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:178080849>chr1:243800965,HNRNPA3,2,AKT3,2,0.9956925026926866
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr7:26233225>chr1:957808,HNRNPA2B1,2,AGRN,1,0.25645591844382926
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57721636>chr17:57816309,CLTC,0,VMP1,0,0.009895229242998392
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chrX:148560596>chrY:21153494,IDS,0,CD24,0,0.05254158470267674
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr4:109546367>chr2:55461315,RPL34,1,RPS27A,2,0.001060118204791393
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:232326397>chr16:66785405,NCL,1,DYNC1LI2,0,0.7144953990012289
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr6:56919445>chr10:14950411,KIAA1586,2,DCLRE1C,2,6.696213909848786E-4
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr16:4940255>chr8:97243670,PPL,1,UQCRB,2,0.04331019970326956
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57279118>chr19:34892334,PRR11,0,GPI,0,0.28698050203492187
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr11:101937335>chr1:245023645,C11orf70,0,HNRNPU,1,0.22551650301194862
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr13:103309454>chr1:113456546,TPP2,0,SLC16A1,0,0.07933036989565165
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:27606920>chr21:16340743,PPM1G,2,NRIP1,0,0.5198150324915922
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:47607044>chr1:155230196,EPCAM,1,SCAMP3,1,8.416112792066502E-4
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr1:36216947>chr3:58417663,CLSPN,0,PDHB,1,0.8836317115279972
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr3:113438286>chr11:18501866,NAA50,0,TSG101,0,0.817519586581363
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr2:232577163>chr1:93306197,PTMA,2,RPL5,1,6.078666217985555E-5
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr16:30077223>chr3:184052836,ALDOA,0,EIF4G1,0,2.747314615812757E-4
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr21:27394357>chr2:183847567,APP,2,NCKAP1,2,0.050532761059129024
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr1:3806007>chr5:96253336,C1orf174,0,ERAP2,0,0.07933036989565165
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr12:52679732>chr17:8413218,KRT81,0,MYH10,2,8.455058181416066E-5
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chrX:77380865>chr12:124081380,PGK1,0,TMED2,0,0.02013126696634984
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr3:119242491>chr6:26271379,TIMMDC1,1,HIST1H3G,0,0.0018370170271995551
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr19:45913685>chr7:73646289,CD3EAP,0,RFC2,0,0.6092620985787033
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr10:24813295>chr4:152042907,KIAA1217,0,SH3D19,0,0.006255456773852225
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr11:85669876>chr11:102103440,PICALM,0,YAP1,0,0.049574782890603436
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr11:17408295>chr6:36569800,KCNJ11,0,SRSF3,0,0.015609604503649708
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr19:18709288>chr10:79552207,CRLF1,0,DLG5,0,0.508707186934382
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr11:61912530>chr11:67208924,INCENP,1,CORO1B,0,0.021468774935677185
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr12:69652600>chr1:161326563,CPSF6,0,SDHC,2,0.866016816877019
R1506023214_S8_L004_.non-rRNA.P.Chimeric.out.junction,chr6:41757334>chr6:35438013,TOMM6,0,RPL10A,2,6.592994941650223E-5
