SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr11:67432802>chr11:67789295,ALDH3B2,0,ALDH3B1,1,0.012910544102459306
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr11:57529347>chr12:49239414,CTNND1,0,DDX23,2,0.9785787635205928
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr16:85813134>chr2:55795450,EMC8,0,SMEK2,0,0.007902489244478457
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr17:39766239>chr2:55276989,KRT16,1,RTN4,1,3.2909594171340106E-5
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr17:18148417>chr12:6647475,FLII,0,GAPDH,0,7.526003993444591E-5
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr1:27190021>chr12:52845829,SFN,2,KRT6B,1,0.0017787051868055892
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr17:7217915>chr1:235392607,GPS2,0,ARID4B,2,2.2376896496266276E-4
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr5:71491325>chr6:44218102,MAP1B,0,HSP90AB1,1,0.027220421762809643
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr2:55277306>chr17:4796845,RTN4,1,MINK1,1,0.005659866287785027
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr6:150070890>chr12:863141,PCMT1,2,WNK1,2,0.7623750820974056
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr20:60882461>chr22:36682826,ADRM1,2,MYH9,1,0.9765895138311815
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr21:45193978>chr12:52881269,CSTB,0,KRT6A,0,0.2297889228359025
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chrX:118925606>chr9:114983489,RPL39,0,PTBP3,0,0.014589228066639048
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr17:36560697>chr17:39777280,SOCS7,0,KRT17,1,0.15082930600855024
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr3:72428508>chr14:73576115,RYBP,2,RBM25,2,0.04568483100390303
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr15:59209177>chr15:41149838,SLTM,1,SPINT1,0,0.013923697208983446
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr1:152957787>chr1:153004943,SPRR1A,2,SPRR1B,2,9.223561453594848E-4
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr17:39780565>chr1:153333392,KRT17,1,S100A9,0,0.005558002679853377
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr2:120978056>chr12:122629160,TMEM185B,0,MLXIP,0,0.06643533496454074
R1504202614_S12_L004_.non-rRNA.P.Chimeric.out.junction,chr1:209602623>chr18:29056641,MIR205HG,0,DSG3,0,0.015193487337610813
