SAMPLE_ID,GENOMIC,5_FPG_GENE_NAME,5_FRAME,3_FPG_GENE_NAME,3_FRAME,DRIVER_PROB
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr15:41149613>chr9:117360417,SPINT1,0,ATP6V1G1,0,0.07337820621373298
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr1:203772084>chr1:70716815,ZC3H11A,0,SRSF11,0,0.007663380819181533
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr1:156564661>chr16:3781348,GPATCH4,0,CREBBP,1,0.8798814560092498
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr22:36916729>chr11:134244922,EIF3D,2,GLB1L2,1,0.008229913993231256
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr7:56148223>chr9:132590368,SUMF2,0,C9orf78,0,0.013923697208983446
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr12:15793727>chr15:69072405,EPS8,0,ANP32A,0,0.04092310599339774
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr12:6879117>chr9:127623795,PTMS,0,RPL35,1,3.1433980575972136E-6
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr3:184041238>chr4:144468657,EIF4G1,0,SMARCA5,0,0.9928530564706461
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr17:57721636>chr17:57816309,CLTC,0,VMP1,0,0.009895229242998392
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr19:13055200>chr19:50001278,CALR,0,RPS11,0,4.94073173749621E-4
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr15:52202773>chr3:33184155,TMOD3,0,CRTAP,0,0.28698050203492187
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr12:53294991>chr4:77096975,KRT8,0,SCARB2,1,0.29399052259182734
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr2:175087889>chr2:27632169,OLA1,1,PPM1G,0,0.025899436787062566
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr12:123350307>chr4:166300319,VPS37B,0,CPE,0,0.014688426809917875
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr2:197000249>chr5:76130194,STK17B,0,F2RL1,0,0.008114720484849165
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr17:7215197>chr13:111213916,EIF5A,0,RAB20,0,0.017068919911604686
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr2:27294263>chr16:87438089,OST4,1,MAP1LC3B,0,0.006913653123696159
R1506023211_S5_L004_.non-rRNA.P.Chimeric.out.junction,chr2:230642170>chr6:168370829,TRIP12,1,MLLT4,0,0.10005250759728358
